예제 1의 입력값과 출력값

입력							출력

50								5
898 2001 -2810 1135				46
1370 -1567 -1305 1476 
716 536 3153 -1935 
3283 25 738 -3872 
1683 4294 -4607 -1632 
2036 3722 786 -2819 
-4206 759 1412 4816 
2393 -1652 4886 -3433 
1095 -2546 4458 4385 
-858 4272 2083 1043 
-3768 603 -537 2502 
3492 -2880 4140 -3362 
-65 -1617 -3705 3309 
-448 -4924 -709 -2403 
974 1468 4465 -772 
4637 -3964 1838 4225 
-1306 -4329 -692 -472 
-403 -1587 -578 -1625 
-2790 -140 198 -3537 
-55 -4359 805 3259 
1565 -4464 967 -2721 
-2755 -629 -2711 2677 
-2744 3310 -76 1972 
859 -2745 -102 -3422 
-1607 2310 2020 -4233 
3408 3070 -4468 -3711 
-3765 -846 4397 2474 
838 3444 4553 -1188 
-1127 830 -2941 179 
3680 -2298 4642 -2051 
4887 -664 4804 -1606 
1593 176 -3333 -2592 
505 -3581 -2364 4144 
-1472 -3040 -1595 -3513 
3320 1661 -2856 1920 
1130 -897 -1805 1947 
3687 -2920 2009 -1232 
4162 -1284 1190 1490 
-3343 1100 -4650 3766 
-4892 -4411 2991 1749 
1464 3654 127 4460 
-2289 -1271 -4850 -4597 
3709 -2360 -2471 -557 
1269 -2369 41 -2985 
-2682 4958 -3111 -644 
419 156 -4712 2436 
1688 -4778 4926 2837 
2746 -3329 -2070 3014 
-4360 -3384 -316 720 
-4171 2549 -3228 -3463 
